Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Friendly people, poor management""",4.0,,,,,," May 3, 2018",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Good, smart people; lots of perks; flexibility in terms of working from home/hours",Upper management always seemed to make the wrong decisions.,
"""Love working here!""",4.0,4.0,3.0,4.0,3.0,3.0," Apr 30, 2018",Current,Software Engineer,"San Francisco, CA",No,No,Neutral,Full-time,Less than a year,Great management. Good opportunities for career progression!,Nothing as such. It's great overall.,Keep up!
"""Good""",4.0,,,,,," May 1, 2018",Past,Anonymous Employee,,No,No,Neutral,Full-time,,People at the team I worked are technical and nice.,The company morale swings a lot.,"Be more focused on user-engaging products like mail, calendar."
"""Opportunity to work with smart people but poor top management""",3.0,3.0,3.0,2.0,4.0,1.0," May 9, 2018",Past,Product Manager,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than 5 years,"You get the opportunity to work with very smart and talented people at a large company with room to grow. As with any large company, a lot depends on the team you are on. I was fortunate to be on a great team that was managed like a startup within the larger company.","I was at Yahoo! for 5 years. At the start things were great but the culture took a dive in the last year. This was in large part due to the fact that management encouraged internal competition causing employees to withhold ideas and information in fear others would steal the idea to reap credit. In addition, we had to deal with large egos at the top, often resulting in poor product decision. Yahoo became a top-down organization that in many ways stifled innovation and creative products.","Work on creating a bottom-up organization to encourage employee engagement, creativity and ultimately build great products."
"""System Software Development Engineer""",3.0,2.0,1.0,4.0,4.0,1.0," May 6, 2018",Past,Anonymous Employee,"Champaign, IL",No,Neutral,Neutral,Full-time,More than a year,Tremendous potential to build your career path<br>Good technical people around<br>Large data scale problems to handle<br>Amazing exposure to various technologies,"Not good company for Visa holders<br>Very unprofessional handling of visa, green card processing<br>Famous for firing abruptly for no reason leading to candidates struggling to maintain legal status<br>Clear distinction between people in an inner and outer circle, where the inner circle people are never bothered",
"""Great people""",5.0,4.0,4.0,4.0,4.0,3.0," Apr 20, 2018",Past,Anonymous Employee,,No,No,Neutral,Full-time,Less than a year,"Co-workers were all for one, one for all.",Situation was challenging - declining products.,
"""SW Developer""",5.0,5.0,5.0,5.0,5.0,5.0," Apr 4, 2018",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"good, very nice, clean,open,nice, awesome","heavy work, work load, chill, bad",
"""Solid all around""",5.0,4.0,4.0,4.0,4.0,3.0," Mar 30, 2018",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Not as 'legacy' as you may have been led to believe. Depending on the org, things move quickly and management has a pretty good idea of what's going on.","the bottom 10%, eliminating remote work",Solicit more input from engineers and tech leads
"""Solid place to work full-time""",4.0,,,,,," Mar 28, 2018",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Worked at Yahoo for 5 years and everyone I've worked with and for has been incredibly supportive and helpful.,Not much in the cons department for me.,
"""A great place to work""",4.0,5.0,4.0,4.0,5.0,3.0," Mar 26, 2018",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Yahoo was a great place to work, not sure how it is now that it's part of Verizon, but there were so many smart people who worked there and I was part of many great teams.","A little bit of a fraternity at times, but so is all of Silicon Valley.",Try to preserve some of what made Yahoo great even though you've been acquired.
"""Software Engineer""",3.0,4.0,5.0,3.0,4.0,3.0," Apr 9, 2018",Current,Software Engineer,"Sunnyvale, CA",No,Neutral,Neutral,Full-time,More than 3 years,Benefits and perks are best in industry. Generous pay packages.<br>Lot of internal opportunities,Very unstable. Lot of changes in management.<br>Employee career management is not taken seriously. Senior management enjoying absolute powers<br>Less respect for engineers,Protect engineers. Give them a chance to grow and innovate.<br>Engineers are not slaves of Engineering managers or Product managers
"""Everything went downhill when Verizon acquisition was announced""",3.0,4.0,2.0,2.0,4.0,2.0," Mar 27, 2018",Past,Senior Manager,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,Less than a year,Payout at the end. Free food. Great perks.,"Uncertainty of job, organization, team. Too much politics at higher management levels.",
"""8 years at yahoo now oath""",3.0,4.0,4.0,4.0,3.0,2.0," Mar 28, 2018",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"perks and benefits are great, good talent","slow to move, consensus driven organization",upgrade talent
"""Principal Engineer""",4.0,4.0,5.0,4.0,4.0,4.0," Mar 13, 2018",Current,Principal Engineer,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 5 years,Great culture and smart people.,Lack of proper direction. Acquires many ad tech companies and does not perform well in the integrations.,
"""Good work culture""",4.0,3.0,4.0,4.0,2.0,3.0," Mar 2, 2018",Past,Senior Software Engineer,"Sunnyvale, CA",Yes,No,Yes,Full-time,More than 3 years,Good technical work. Intact very few companies will give the opportunity for such kind of high end work.,The spiraling biz and the acquisition.. it may end of spoiling the vibrant culture.,Keep the spirit of Yahoo! Don't let it go..
"""Fun fun fun for everyone""",5.0,,,,,," Feb 25, 2018",Past,Anonymous Employee,,Yes,No,Neutral,Full-time,,Open interesting intellectual environment full,Changeover of management and constant acquisition discussion,
"""It was a great job to work at.""",5.0,,,,,," Feb 22, 2018",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,I loved it so much and would continue.,Can't say that there are any cons.,
"""Great place to work""",5.0,5.0,4.0,5.0,5.0,2.0," Feb 19, 2018",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Competitive pay, great benefits",Tough tech outlook considering comeptitors,
"""Great Place to work""",5.0,5.0,5.0,4.0,5.0,4.0," Feb 15, 2018",Past,Anonymous Employee,,No,No,Neutral,Full-time,,"Smart people, great benefits, very flexible work/life balance.",micromanaging and everyone is out for themselves not the team.,
"""Great Company!""",5.0,5.0,5.0,,,," Feb 15, 2018",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,The people were my favorite part of the company! I loved working with them! The benefits are also great!,none that I can think of,"Transparency is key, so make sure to keep employees updated with what's going on."
"""Disorganized and no aim at the end""",3.0,3.0,5.0,3.0,5.0,3.0," Feb 19, 2018",Past,Anonymous Employee,,No,No,Neutral,Full-time,,Great food benefits and drinks,No direction at the end of my time there.,
"""Company means well""",4.0,3.0,3.0,3.0,4.0,2.0," Jan 31, 2018",Past,Anonymous Employee,"Sunnyvale, CA",No,No,Neutral,,More than 3 years,"A fun company to work for, it has a big audience so your work has a wide impact",Management does not know what they want the company to be about. They are constantly changing plans.,Get it together.
"""Yahoo Sunnyvale""",4.0,3.0,3.0,3.0,3.0,3.0," Jan 30, 2018",Current,Anonymous Employee,,Neutral,Neutral,Neutral,,Less than a year,"work Environment, benefits,work life balance,coworkers,",disparity in salary for same level across depts,none
"""Not so happy""",3.0,3.0,5.0,3.0,1.0,1.0," Feb 11, 2018",Current,Software Engineer,"Sunnyvale, CA",Yes,Yes,Neutral,Full-time,More than 5 years,Good food. Good work if working in good team such as mail or index,"No stocks renewal and salary sucks,",
"""Quality Peers""",4.0,3.0,3.0,4.0,4.0,2.0," Jan 25, 2018",Past,Anonymous Employee,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than 5 years,"Fantastic coworkers, interesting problems to solve, quality pay",QPR rankings are the worst and derail motivation. A few less than quality people in leadership roles.,Don't accept bad behaviors from management.
"""Great company with great people.""",4.0,1.0,4.0,4.0,4.0,3.0," Jan 16, 2018",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,More than 5 years,Great benefits and lots of interesting and smart people. Many opportunities for lateral and upward movement in multiple career paths.,"At a high level the company had a hard time adjusting to the rapid changes of the industry and often times this trickled down as a lack of organization, creating lots of unnecessary work.",Help employees adapt to change more quickly.
"""Wild Ride""",4.0,4.0,3.0,3.0,4.0,4.0," Jan 13, 2018",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Great company to work for if you can stand all the ups and downs that come with it,constantly in flux. more stable under oath but generally speaking always nebulous,put people first to stay competitive in the marketplace
"""Nice place, lots of good perks, future? No clue.""",4.0,3.0,4.0,3.0,4.0,2.0," Jan 10, 2018",Current,Senior Production Engineer,"Sunnyvale, CA",Yes,Neutral,Neutral,Full-time,More than 8 years,"good perks, good free food, interesting technical problems to solve",management: some managers are really incompetent<br>very ad-hoc schedule of projects,"Hire managers, do not promote everybody in house"
"""Cleaner""",1.0,1.0,1.0,,,," Feb 15, 2018",Past,Anonymous Employee,"Sheboygan, WI",No,No,Neutral,Full-time,Less than a year,"Some of the reps are really nice, honest people.",Sheboygan AE is a druggie. They'll tell you that you have benefits only to find out later that you don't. Some employees cheat on their times and nothing happens to them. Just show up. Do nothing. You'll do great.,Drug test everyone!
"""Great Company""",5.0,4.0,5.0,5.0,5.0,3.0," Jan 8, 2018",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Great culture and benefits. They also reward top talent.,The company was slow moving at times.,
"""Unorganized culture and place to work""",1.0,3.0,1.0,2.0,3.0,1.0," Feb 10, 2018",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than 3 years,-the people are great<br>-free lunches,-no structure at all<br>-things changing constantly because everything is so unorganized<br>-moral is low<br>-no guidance/mentorship,
"""Good place to work""",4.0,5.0,5.0,4.0,4.0,1.0," Jan 4, 2018",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,Strong engineering culture. Good benefits,Lacked a coherent business strategy,Hire good leaders
"""Yahoo Review""",4.0,4.0,3.0,3.0,4.0,2.0," Dec 21, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,- Nice and smart people to work with<br>- Reasonable work/life balance<br>- Interesting Job,- Company Instability<br>- Unsure future,Do a better job trying to preserve Yahoo original culture after the acquisition
"""Found what I want to do, but not the company I want to work for""",3.0,4.0,1.0,2.0,4.0,1.0," Jan 2, 2018",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,The training program and Yahoo is good,"The dynamic between people here felt like I was still in high school,",
"""Finance""",4.0,4.0,4.0,4.0,5.0,4.0," Dec 18, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,More than 5 years,Good company to start your career with,"No room for growth, very slow progression",
"""HR""",4.0,5.0,5.0,1.0,2.0,3.0," Dec 8, 2017",Past,Human Resources,"San Francisco, CA",No,No,Neutral,Full-time,More than 8 years,"Best people, great culture, great benefits! Passionate people","Poor management, always worries about hiring from outside and not developing people within",
"""Not as bad a place as it seems but constantly changing.""",4.0,4.0,4.0,3.0,4.0,3.0," Dec 7, 2017",Past,Director,"San Francisco, CA",Yes,Yes,Neutral,Full-time,,If you can find a good team/org (read: good management) you can be quite happy and challenged...but that's rare.,Every 6 months it seems you have a new job with new goals and new directives and not related to anything you did in the last 6 months.,Think more strategically rather than panic and fast follow. Ask employees to think beyond v1 of anything they build or do.
"""Cool Place""",5.0,5.0,5.0,5.0,5.0,5.0," Dec 6, 2017",Past,Anonymous Employee,,Yes,No,Neutral,Full-time,,Nice offices in the Valley,There are no downsides to working here.,
"""Hopeful for change post acqusition""",3.0,2.0,2.0,2.0,5.0,2.0," Dec 12, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Great compensation, people and perks.","Lack of support from management, 8 VP's in 4.5 years, company goals are a moving target, poor communication, no flexibility with working from home, grading scale lead to very negative environment.","Get it together! This could be a fantastic company, you have all the right pieces."
"""Great company and culture""",5.0,3.0,5.0,4.0,5.0,3.0," Nov 20, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Great culture and company to work for. Best 2 years of Account Manager experience.,Layoffs and unsteady for the past year,
"""Open culture, great learning and lots of fun""",4.0,4.0,5.0,4.0,4.0,3.0," Nov 17, 2017",Current,Senior Product Manager,"Sunnyvale, CA",Yes,Yes,Yes,Full-time,More than 8 years,"People will be receptive to your ideas, and acknowledge your labor. Media usually paints a different (and at times dismal) picture for Yahoo, but its a hard core Technology company. You'll get to work with really bright folks and will learn (and do) cool stuff that matters.","Somewhat bureaucratic, and some legacy debt hounds certain teams.",
"""was great""",4.0,4.0,1.0,3.0,2.0,1.0," Nov 17, 2017",Past,Anonymous Employee,,Neutral,No,Neutral,Full-time,,The People...the company...was the best !,The merger. So sad......Was the best...Oath awful.......,Too much to list.....
"""Software Development Engineer Intern""",4.0,5.0,4.0,4.0,5.0,4.0," Nov 13, 2017",Past,Anonymous Employee,,Neutral,Neutral,Neutral,Full-time,,-Great location<br>-Free food<br>- lots of events for interns<br>- Good workshops for interns<br>- Smart and easily approachable people,There were some stability issue in the company at the time,Set a solid vision.
"""Proud to wear the Purple""",4.0,4.0,4.0,4.0,4.0,4.0," Nov 13, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Great people and media properties,Lack of meaningful new product innovation,
"""Production Assistant""",3.0,5.0,3.0,3.0,4.0,2.0," Nov 26, 2017",Current,Production Assistant,"New York, NY",Yes,No,Yes,,More than a year,Many learning and networking opportunities.,"Was truly an AP, though treated as an PA.",
"""Nice growth opportunities are available""",4.0,3.0,3.0,5.0,4.0,3.0," Nov 11, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Influence and contribution at scale,Lots of energy managing the matrix of the organization,Thanks for the memories
"""Yahoo is a great compant""",4.0,4.0,3.0,3.0,3.0,3.0," Nov 4, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,"Good benefits, good pay, good health insurance",There are a lot of managers that should not be managers,
"""Sr. Software Engineer""",5.0,5.0,5.0,5.0,5.0,4.0," Nov 2, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,More than a year,"Working at Yahoo was simply amazing- I was surrounded by brilliant minds, and worked with cutting edge technologies. The sheer size of the data and willingness to answer questions that had never been asked was immensely rewarding.","During my time there, I survived multiple layoffs and some decidedly short-term CEO's, which lead to some uncertainty, especially as an employee based in a remote office,",
"""Golden handcuffs""",4.0,5.0,3.0,3.0,5.0,2.0," Oct 30, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,More than 5 years,"Many smart colleagues, free food, nice office","Not a lot of room for career growth, strategy shifts often, Kafka-esque management procedures, mediocre employees benefit most due to backwards rating system",
"""Average, but on a decline""",3.0,4.0,3.0,2.0,3.0,1.0," Nov 13, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Free food, relaxing work environment, and generous sick policy and time off.","The company is heavy on top down management where they treat the lower level employees like children. As a manager, I'm in the middle where you can work as hard as you want or as little as you want - either way, it doesn't make a difference. In the Hillsboro office, there is favoritism and employees who should have been fired years ago, remain.",
"""Good company to work at""",3.0,3.0,3.0,3.0,3.0,3.0," Nov 13, 2017",Past,Anonymous Employee,,Yes,No,Yes,Full-time,More than 8 years,Many areas to explore<br>Strong frontend development<br>Strong support for open source development<br>User base is huge,"Teams collaboration is not very smooth<br>Teams/efforts not contribute in a meaningful way<br>Sometimes, there are too many meetings",Be more open to engineers.<br>More consistent talks about strategies.<br>More support for the ideas from bottom up<br>More focus on timely deliverables.
"""Senior Manager Technical Accounting and M&A""",5.0,5.0,4.0,5.0,5.0,4.0," Oct 26, 2017",Past,Senior Manager Technical Accounting & M&A,"Sunnyvale, CA",Neutral,No,Neutral,Full-time,,"Great team, great experience, great benefits",Difficulty in upper management trying to turn company around,"Too late to advise, the company is sold"
"""Decent Internship Experience""",3.0,5.0,4.0,2.0,5.0,4.0," Nov 4, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,More than 5 years,"Get to learn a lot about the software development process, because Yahoo does use the latest technologies and development strategies.<br><br>Recruiting / Intern event team was awesome and organized some really cool events.","Your experience will be heavily dependent on the team you are assigned to. I felt my intern project did not have much impact, even though it was shipped to production.<br><br>Yahoo is not doing too well right now, and they had massive layoffs for full-time employees during my time there.","Before allowing a team to request an intern, make sure the team has fully fleshed out that intern's project / role. As an intern, I felt my project was too fluid and not fully shaped even as I was working on it."
"""Great place, great benefits, awesome people!""",4.0,5.0,5.0,4.0,5.0,4.0," Oct 20, 2017",Past,Anonymous Employee,,Neutral,Neutral,Neutral,Full-time,,Great people to work with! Always looking for the next big thing!,Not a whole lot that can be seen as a con.,
"""Great teams, smart people but scattered upper management""",4.0,3.0,4.0,4.0,5.0,1.0," Oct 19, 2017",Past,Senior Product Manager,"Sunnyvale, CA",Yes,Neutral,Yes,Full-time,More than 10 years,Disclaimer: I quit many years ago.<br><br>It was great to work on innovative products that were used by millions of people all over the world. The talent pool was all-in-all great and the work environment is fun and friendly. Great compensation level.,Upper management changed constantly as did the operating thesis. This led to high turn-over and lots of missed opportunities.<br><br>Slightly de-motivating to be with the constant beating horse of the Valley.,
"""Product Marketing""",4.0,3.0,3.0,4.0,4.0,2.0," Oct 19, 2017",Current,Anonymous Employee,,Yes,No,Yes,Full-time,,Lots of interesting problems to solve.,Lots of turnover and lack of clear vision.,
"""I love it here!""",5.0,5.0,4.0,5.0,5.0,5.0," Oct 18, 2017",Current,Software Engineer,"New York, NY",Yes,Yes,Neutral,Full-time,More than a year,"It’s got the same tech perks as all the other big companies, even if it’s not as “sexy” as them.",There’s a lot of difficulty with communication sometimes due to the fact that teams are spread out across different offices,
"""Great People""",4.0,4.0,5.0,5.0,4.0,3.0," Oct 17, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,More than 10 years,The people were the best. Incredibly talented and passionate.,"Starts and stops, never ending strategy changes, meaningless acquisitions",
"""Good""",5.0,3.0,5.0,4.0,3.0,3.0," Oct 14, 2017",Current,Principal Software Engineer,"Sunnyvale, CA",No,Neutral,Neutral,Full-time,More than 5 years,"Great technology, talented people, best employer. No impact for performing people.",Always tried to catch up with market than leading.,
"""Awesome place""",3.0,3.0,2.0,3.0,3.0,3.0," Oct 26, 2017",Past,Supervisor,"New York, NY",Yes,Neutral,Yes,Full-time,More than 5 years,Loved working here. great management,Did not love working here. Not so great management.,Ask someone about advice for management.
"""qa engineer""",4.0,4.0,5.0,3.0,3.0,3.0," Oct 11, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,More than 5 years,"Best place to work, values employee, falt management structure","salary and benefits are not very competitive, low morale in employee due to company struggling maintaining its brand value",some cost cutting in free food and have employee paid better
"""Great Culture""",4.0,5.0,5.0,2.0,3.0,2.0," Oct 10, 2017",Current,Software Engineer,"Sunnyvale, CA",No,No,Neutral,Full-time,More than 8 years,- Great culture<br>- decent benefits,- low salary<br>- okayish quality of work,need to hire good talent
"""Account Director""",3.0,4.0,5.0,,,," Oct 23, 2017",Past,Anonymous Employee,,No,No,Yes,Full-time,,Great place to learn and grow.,It's not the same company in recent years.,
"""Yahoo was great/ Oath not so much""",3.0,4.0,5.0,3.0,4.0,3.0," Oct 19, 2017",Past,Anonymous Employee,,Yes,No,Neutral,Full-time,More than a year,Yahoo had an excellent culture with people who gave it their all to try and make the company great again,Yahoo was sold to Verizon,
"""Good, but could be better.""",3.0,4.0,3.0,3.0,4.0,2.0," Oct 20, 2017",Past,Anonymous Employee,"New York, NY",Yes,Yes,Neutral,Full-time,More than 5 years,Good salary<br>Good work life balance<br>Perks,"Office politics<br>Many employees phone it in and don't work hard, yet succeed due to politics<br>Senior leadership can be very disconnected from staff<br>Not enough investment in innovation to move quickly and compete with the industry",Get a diverse set of feedback from all staff to make decisions.
"""Poor Management""",2.0,4.0,2.0,3.0,3.0,1.0," Oct 11, 2017",Past,Technical Analyst,"Hollywood, CA",No,No,Neutral,Full-time,Less than a year,"Great perks, good pay, decent campus","Constant change to management, sloppy unfocused goals, technical nightmare",Treat your employees better
"""Alright if you just want to collect a paycheck""",3.0,5.0,4.0,3.0,3.0,1.0," Oct 8, 2017",Current,Principal Software Engineer,"Sunnyvale, CA",No,No,Neutral,Full-time,More than 3 years,* Smart engineers<br>* Large user base creates unique problems<br>* Employees are still really passionate<br>* Good work life balance,* Still struggling to figure out mobile<br>* Trouble prioritizing<br>* Kind of a rudderless boat at the moment<br>* Still some AOL merger pains,"Prioritize products, cut stuff that doesn't have users or momentum, and focus on stuff that does. We've been trying to switch to mobile for 5+ years now, figure it out."
