Title,date
"<p>-- <a href=""http://www.featurelabs.com/"">Feature Labs</a> (Boston, MA), software to automate AI algorithms being leveraged on structured data: <a href=""http://www.finsmes.com/2018/02/feature-labs-raises-1-5m-in-seed-financing.html"">$1.5M</a> Seed led by Flybridge Capital Partners, participation from First Star, 122 West.</p>",2018-02-25
<p><strong>--Gaming--</strong></p>,2018-02-25
"<p>-- <a href=""https://www.visionesportslp.com/"">Vision Esports</a> (Beverly Hills, CA), esports investment fund and management: <a href=""http://www.finsmes.com/2018/02/vision-esports-closes-38m-capital-raise.html"">$38M</a> led by Evolution Media, participation from Creative Artists Agency, TPG Growth, Shamrock, Seth Bernstein Capital, Simon Tikhman, Odell Beckham Jr, St. Louis Cardinals, Kevin Durant &amp; Rich Kleiman/The Durant Company.</p>",2018-02-25
<p><strong>--Enterprise--</strong></p>,2018-02-25
"<p>-- <a href=""https://www.indigofair.com/"">Indigo Fair</a> (San Francisco, CA), platform to connect small product makers to physical niche retailers: <a href=""https://techcrunch.com/2018/02/22/indigo-fair-raises-12m-to-connect-wholesalers-with-smaller-retail-outlets-with-a-smarter-service/"">$12M</a> from Forerunner Ventures, Khosla Ventures.</p>",2018-02-25
"<p>-- <a href=""http://agentiq.com/"">Agent IQ</a> (San Francisco, CA), AI-based customer service platform for more mundane requests: <a href=""http://www.finsmes.com/2018/02/agent-iq-raises-6-3m-in-series-a-funding.html"">$6.3M</a> A led by Sierra Ventures, participation from CRCM, Rubicon.</p>",2018-02-25
"<p>-- <a href=""http://eventcore.com/"">eventcore</a> (Seattle, WA), event registration platform for enterprise gatherings: <a href=""http://www.finsmes.com/2018/02/eventcore-secures-4m-in-financing.html"">$4.1M</a> led by East Seattle Partners.</p>",2018-02-25
"<p>-- <a href=""https://www.teampay.co/"">TeamPay</a> (New York, NY), platform to tie expenses to employees to manage team budgets: <a href=""http://www.finsmes.com/2018/02/teampay-raises-4m-in-seed-funding-round.html"">$4M</a> Seed led by Crosscut Ventures/ KEC, Precursor, CoVenture, et al.</p>",2018-02-25
"<p>-- <a href=""http://fanai.io/"">FanAI</a> (Santa Monica, CA), AI-based esports audience monetization: <a href=""http://www.finsmes.com/2018/02/fanai-secures-2-5m-in-funding.html"">$2.5M</a> led by Courtside Ventures, CRCM Ventures, participation from BITKRAFT Esports, BDS, Catalyst Sports, Deep Space, Everblue, Greycroft GC Tracker, M, Rosecliff, Sterling.</p>",2018-02-25
"<p>-- <a href=""http://www.sheptravel.com/"">Complai</a> (Austin, TX), platform allowing business travelers to book on consumer sites and track expenses: <a href=""http://www.finsmes.com/2018/02/complai-raises-1-4m-seed-funding-round.html"">$1.4M</a> Seed led by Moonshots Capital, participation from Capital Factory, Kathy Misunas, Ellen Keszler, Jim Finnigan, Mariano Dima.</p>",2018-02-25
<p><strong>--Fintech--</strong></p>,2018-02-25
"<p>-- <a href=""https://recargapay.com.br/"">RecargaPay</a> (Brazil), payment and digital wallet platform: <a href=""http://www.finsmes.com/2018/02/recargapay-raises-22m-in-series-b-funding.html"">$22M</a> B from IFC, TheVentureCity, Ventech, FundersClub, DN, FJlabs, Fabrice Grinda, Martin Varsavsky, et al.</p>",2018-02-25
<p><strong>--Biotech/Health--</strong></p>,2018-03-06
"<p>-- <a href=""http://www.tricida.com/"">Tricida</a> (San Francisco, CA), treatment against metabolic acidosis: <a href=""http://www.finsmes.com/2018/03/tricida-receives-100m-venture-debt-financing.html"">$100M</a> Debt from Hercules Capital.</p>",2018-03-06
"<p>-- MedGenome (Mumbai, India), genomics research: <a href=""http://www.livemint.com/Companies/VNkIG4Zkh20iZhoZjJfYwK/MedGenome-raises-funds-from-HDFC-group-firms.html"">$40M</a> C from HDFC.</p>",2018-03-06
"<p>-- 23Mofang (China), genomics: <a href=""https://www.chinamoneynetwork.com/2018/03/06/matrix-partners-china-leads-15-8m-round-chinese-genetic-testing-start-23mofang"">$15.8M</a> led by Matrix Partners.</p>",2018-03-06
